N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,M3
0.0561,0.0301,7.662674887,2.944472964,10.53390403,0.441486557,12.0001,9.0001,0.720476572,1.041785537,0.962379326,0.7133686340000001,8.25156948,9.734841574,RAISE
0.0551,0.0311,8.012647688,2.8712291389999995,10.53390403,0.520478536,12.4001,9.3001,0.727429723,1.0159501990000002,1.028453635,0.713665826,8.586893516,10.12332225,RAISE
0.0541,0.0321,9.008910876,2.521256339,10.53390403,0.558133629,12.8001,9.6001,0.760653189,0.893259719,1.004763488,0.647582557,9.513162144,10.96455549,RAISE
0.0531,0.0331,9.374085103,1.524993151,10.53390403,0.7146366470000001,13.2001,9.9001,0.855230013,0.544367603,0.986820448,0.469547891,9.679083733,10.93808798,RAISE
0.0521,0.0341,10.23584634,1.159818923,10.53390403,1.229393732,13.6001,10.2001,0.8898965740000001,0.416356623,1.4375720440000002,0.49569272,10.46781012,12.11356048,RAISE
0.0511,0.0351,7.957427054,0.298057684,10.53390403,1.765076623,14.0001,10.5001,0.971704917,0.114540189,1.822346718,0.4217394379999999,8.017038591,9.896655403,STOP
0.0501,0.0361,8.639507172,2.576476972,10.53390403,5.339521487,0.0001,0.0001,0.7554110079999999,0.91178694,5.795414957,1.6149764619999998,9.154802566,15.40611099,RAISE
0.0501,0.0371,8.669384187,1.894396854,10.53390403,0.670645014,0.4001,0.3001,0.820161941,0.673058899,1.007174463,0.537964342,9.048263558,10.39196747,RAISE
0.0501,0.0381,9.367198905,1.864519839,10.53390403,0.915265898,0.8001,0.6001,0.822998213,0.6626019439999999,1.24656687,0.5806143460000001,9.740102873,11.31797071,RAISE
0.0501,0.0391,9.409259742,1.166705121,10.53390403,1.004784042,1.2001,0.9001,0.889242856,0.418366792,1.213967438,0.4519768839999999,9.642600766,11.0657516,RAISE
0.0501,0.0401,9.826152687,1.1246442840000002,10.53390403,1.612962791,1.6001,1.2001,0.893235757,0.4036454989999999,1.814785541,0.564779858,10.05108154,12.06768983,RAISE
0.0701,0.0411,10.79598956,0.7077513390000001,10.53390403,1.74742411,2.0001,1.5001,0.932812057,0.261732969,1.878290594,0.506524603,10.93753983,12.94669691,RAISE
0.0901,0.0421,9.214141991,-0.262085539,10.53390403,3.05078605,2.4001,1.8001,1.02488019,-0.073709939,3.0139310810000004,0.5659312470000001,9.161724883,12.13880099,STOP
0.0891,0.0001,9.701498118,1.319762035,10.53390403,-7.031400538,0.0001,0.0001,0.8747129240000001,0.479736712,-6.791532182,-1.11843808,9.965450525,3.413786699,RAISE
0.0881,0.0011,10.39474901,0.8324059079999999,10.53390403,1.470188997,0.4001,0.3001,0.920978404,0.308962068,1.624670031,0.47941504,10.56123019,12.34038126,RAISE
0.0871,0.0021,0.760361884,0.139155021,10.53390403,2.497519276,0.8001,0.6001,0.986789796,0.066124257,2.530581405,0.53917841,0.788192888,3.351836422,HOLD
0.0861,0.0021,1.058417986,9.773542142,10.53390403,1.092827093,0.8001,0.6001,0.072182344,3.43795975,2.811806968,2.2813412680000003,3.013126414,7.543913257000001,RAISE
0.0851,0.0031,1.583120381,9.47548604,10.53390403,0.021658841,1.2001,0.9001,0.1004772759999999,3.333440114,1.688378898,2.004395837,3.478217589,6.833316544,RAISE
0.0841,0.0041,1.692319741,8.950783645,10.53390403,0.033415075,1.6001,1.2001,0.150288096,3.149594276,1.608212213,1.89643958,3.48247647,6.665485821,RAISE
0.0831,0.0051,2.132564322,8.841584285,10.53390403,0.03781389,2.0001,1.5001,0.160654562,3.1111745,1.59340114,1.874267478,3.900881179,7.049869569,RAISE
0.0821,0.0061,2.752141481,8.401339704,10.53390403,0.0482394159999999,2.4001,1.8001,0.20244767,2.956888896,1.526683864,1.783781221,4.432409422,7.437537734,RAISE
0.0811,0.0071,3.561274723,7.781762545,10.53390403,0.065516729,2.8001,2.1001,0.261265099,2.7398368910000004,1.435435174,1.65700548,5.117627232,7.922980852,RAISE
0.0801,0.0081,4.551339263,6.972629303,10.53390403,0.091528743,3.2001,2.4001,0.338077385,2.456440256,1.319748871,1.492169902,5.945865124,8.493834123,RAISE
0.0791,0.0091,5.203855337,5.982564762999999,10.53390403,0.130548723,3.6001,2.7001,0.432065761,2.109717667,1.185407557,1.291940345,6.40036829,8.64063468,RAISE
0.0781,0.0101,5.263597718,5.330048689,10.53390403,0.1739673719999999,4.0001,3.0001,0.494010134,1.881137041,1.114535893,1.163475699,6.329607456000001,8.384711869,RAISE
0.0771,0.0111,5.294643928,5.270306309,10.53390403,0.197506553,4.4001,3.3001,0.499681571,1.860027208,1.127520157,1.155517635,6.34870519,8.406238951,RAISE
0.0761,0.0121,6.257185109,5.239260099,10.53390403,0.200923575,4.8001,3.6001,0.502628837,1.848961035,1.125404092,1.149561336,7.305037129,9.354921738,RAISE
0.0751,0.0131,6.855491239,4.276718917,10.53390403,0.238857586,5.2001,3.9001,0.5940043779999999,1.5118716209999998,0.994793396,0.95489449,7.710835022,9.461564229,RAISE
0.0741,0.0141,7.445371647000001,3.678412787,10.53390403,0.320595829,5.6001,4.2001,0.650802516,1.302264475,0.971728067,0.845477851,8.181054204,9.803914509,RAISE
0.0731,0.0151,7.977524697000001,3.088532379,10.53390403,0.4048143629999999,6.0001,4.5001,0.706800786,1.095606333,0.952617529,0.738326672,8.595231173,10.09565187,RAISE
0.0721,0.0161,8.375800052999999,2.556379329,10.53390403,0.516589999,6.4001,4.8001,0.757318908,0.909152765,0.971166382,0.648809659,8.887075918999999,10.31281868,RAISE
